Rank,Country,Name,Born,Position,Games,G,A,PIM
1,CAN,Wayne Gretzky,1961,F,1487,894,1963,577
2,CZE,Jaromír Jágr,1972,F,1733,766,1155,1167
3,CAN,Mark Messier,1961,F,1756,694,1193,1912
4,CAN,Gordie Howe,1928,F,1767,801,1049,1685
5,CAN,Ron Francis,1963,F,1731,549,1249,977
6,CAN,Marcel Dionne,1951,F,1348,731,1040,600
7,CAN,Steve Yzerman,1965,F,1514,692,1063,924
8,CAN,Mario Lemieux,1965,F,915,690,1033,834
9,CAN,Joe Sakic,1969,F,1378,625,1016,614
10,CAN,Phil Esposito,1942,F,1282,717,873,910
11,CAN,Ray Bourque,1960,D,1612,410,1169,1141
12,CAN,Mark Recchi,1968,F,1652,577,956,1033
13,CAN,Paul Coffey,1961,D,1409,396,1135,1802
14,CAN,Stan Mikita,1940,F,1396,541,926,1264
15,FIN,Teemu Selänne,1970,F,1451,684,773,660
16,CAN,Joe Thornton,1979,F,1493,397,1030,1194
17,CAN,Bryan Trottier,1956,F,1279,524,901,912
18,CAN,Adam Oates,1962,F,1337,341,1079,415
19,CAN,Doug Gilmour,1963,F,1474,450,964,1301
20,CAN,Dale Hawerchuk,1963,F,1188,518,891,730
21,FIN,Jari Kurri,1960,F,1251,601,797,545
22,CAN,Luc Robitaille,1966,F,1431,668,726,1177
23,US,Brett Hull,1964,F,1269,741,650,458
24,US,Mike Modano,1970,F,1499,561,813,930
25,CAN,Johnny Bucyk,1935,F,1540,556,813,493